time,Pyr_MEAN,Pyr_STD,Lac_MEAN,Lac_STD
0.0,2160.0,259.2,0.0,1.0
15.0,1627.9138756039592,195.3496650724751,16.621551368309532,1.2204230608331186
20.0,1475.7509748728687,177.09011698474424,25.79218477052254,1.8969735658296631
25.0,1335.6595093143676,160.2791411177241,35.88085138451784,2.5923431121046305
30.0,1207.1053696878412,144.85264436254093,44.722733860823794,3.2663146330490287
35.0,1089.5001587462293,130.74001904954753,47.696861773936206,3.8901490838918735
40.0,982.2485658717989,117.86982790461586,51.474735692123375,4.442272570100379
45.0,884.7695047442656,106.17234056931187,74.14890753023391,4.906039971696919
50.0,796.4743143023693,95.57691771628431,66.22413495927229,5.270783237217505
55.0,716.7210954383365,86.00653145260038,70.36872410051312,5.534671523000813
60.0,644.8069475685793,77.37683370822951,61.345728265859236,5.704755330641169
65.0,580.0124985447709,69.6014998253725,76.39039135674867,5.793162074743602
70.0,521.6500948367328,62.59801138040794,75.90623547983202,5.813110935222874
75.0,469.08690309443875,56.290428371332645,79.48671100558619,5.776879937662622
80.0,421.7493042589066,50.60991651106879,70.26940449266057,5.695217592638216
85.0,379.11991140169494,45.49438936820339,77.3278104329211,5.5773332955295425
90.0,340.73268556170416,40.8879222674045,72.00234260743751,5.431049506520269
95.0,306.1679274181229,36.740151290174744,68.94218698444546,5.262979636191635
100.0,275.0476221524275,33.005714658291296,69.73371462847858,5.07869452556079
105.0,247.0312257446404,29.643747089356847,59.99317914295106,4.882869541590617
110.0,221.8118888551904,26.617426662622847,56.75584613392525,4.679412009654777
115.0,199.11307199391283,23.89356863926954,68.31464721966343,4.471571147165364
120.0,178.68551629583476,21.44226195550017,56.43987956776205,4.262032655078789
125.0,160.30452695557554,19.236543234669064,50.268459490690866,4.053000214606482
130.0,143.76753610720274,17.252104332864327,55.5315832940508,3.8462657100271533
135.0,128.89191400347224,15.467029680416667,50.35751776636142,3.6432697905528717
140.0,115.51300103550051,13.86156012426006,43.43154156789948,3.4451541398164145
145.0,103.48233842654474,12.41788061118537,48.6605893514014,3.252806565990404
150.0,92.6660739414395,11.119928872972741,44.20452498933626,3.0668999614383736
155.0,82.94352750251898,9.953223300302277,39.82116587698995,2.8879258852632588
160.0,74.20589807817551,8.90470776938106,37.2903362467894,2.716223542598717
165.0,66.355099076152,7.96261188913824,36.12826018971122,2.552004737607854
170.0,59.30270786671302,7.116324944005562,29.35842652613972,2.3953753636758877
175.0,52.969018747663576,6.356282249719629,29.886099910148115,2.246353871705203
180.0,47.282188703780925,5.673862644453711,25.064459450464973,2.1048871212598255
185.0,42.177467369755696,5.061296084370683,27.991225416467202,1.970863949262169
190.0,37.59650146746485,4.511580176095782,28.08318476876902,1.8441267809943684
195.0,33.48670841405568,4.018405009686681,24.83277892165506,1.7244815114213004
200.0,29.80070939440801,3.576085127328961,22.082379944465938,1.6117059185007157
205.0,26.495820513278698,3.1794984615934436,21.39563166514803,1.505556768483216
210.0,23.533591321936647,2.8240309586323975,19.838935972465777,1.4057758300498737
215.0,20.879389216239115,2.505526705948694,18.131453277295282,1.3120949150329662
220.0,18.502023965899824,2.220242875907979,15.089999105319176,1.2242400940286235
225.0,16.37340986332135,1.964809183598562,15.559731304058829,1.1419351843864893
230.0,14.46826011916246,1.736191214299495,14.61913583288323,1.0649046304201744
235.0,12.763811303327081,1.5316573563992497,14.007125250670132,1.0
240.0,11.239574718480982,1.348748966217718,12.720129500576546,1.0
245.0,9.877111921458667,1.18525343057504,10.20168732141814,1.0
250.0,8.659832431442839,1.0391798917731405,11.26560978515451,1.0
255.0,7.572811079428182,1.0,10.588855399441847,1.0
260.0,6.602623257463772,1.0,7.578296941743972,1.0
265.0,5.73719636399675,1.0,9.848616508584172,1.0
270.0,4.96567570101025,1.0,9.14144136076361,1.0
275.0,4.278303731622027,1.0,9.181714328594628,1.0
280.0,3.6663107464667037,1.0,6.35578380752482,1.0
285.0,3.12181674048095,1.0,6.448969882237605,1.0
290.0,2.6377428071675086,1.0,6.459290011127192,1.0
295.0,2.2077311335812486,1.0,5.190574570434025,1.0
300.0,1.8260729527023085,1.0,6.853429428697562,1.0
305.0,1.4876435800724095,1.0,4.617014196305117,1.0
310.0,1.187843884810572,1.0,4.0079972987882515,1.0
315.0,0.9225475310390924,1.0,4.095125866683089,1.0
320.0,0.6880534279392768,1.0,3.668583405900591,1.0
325.0,0.4810429001250718,1.0,2.1539155525765845,1.0
330.0,0.2985411004563689,1.0,4.590460014249489,1.0
335.0,0.13788225317090974,1.0,3.7184823926023682,1.0
340.0,-0.003321648516857017,1.0,3.0262411880413227,1.0
345.0,-0.1272090297888349,1.0,2.0490265176204003,1.0
350.0,-0.23569411200191573,1.0,2.6070341556532193,1.0
355.0,-0.33048974594375946,1.0,1.960882885648723,1.0
360.0,-0.41312803271010834,1.0,3.960014027846386,1.0
365.0,-0.4849787179230146,1.0,2.0274799485664627,1.0
370.0,-0.5472659410369605,1.0,1.555568695623172,1.0
375.0,-0.6010831393827745,1.0,3.18443571212017,1.0
380.0,-0.647406596193724,1.0,-0.38016381092148954,1.0
385.0,-0.6871074847274874,1.0,2.080038683308617,1.0
390.0,-0.7209628105068185,1.0,1.8967141608870668,1.0
395.0,-0.7496651411916883,1.0,1.1661684890635848,1.0
